iter	Passed	Remaining
455	975	1163
456	977	1161
457	981	1161
458	982	1158
459	984	1155
460	985	1152
461	987	1149
462	989	1147
463	991	1145
464	995	1145
465	997	1143
466	999	1140
467	1001	1137
468	1002	1135
469	1003	1132
470	1007	1131
471	1010	1130
472	1012	1127
473	1014	1125
474	1016	1123
475	1018	1120
476	1019	1118
477	1022	1116
478	1025	1115
479	1026	1112
480	1028	1109
481	1029	1106
482	1030	1103
483	1032	1100
484	1034	1098
485	1035	1094
486	1037	1092
487	1040	1091
488	1041	1088
489	1042	1085
490	1044	1082
491	1045	1079
492	1046	1076
493	1048	1073
494	1049	1070
495	1052	1069
496	1054	1066
497	1055	1064
498	1057	1061
499	1058	1058
500	1060	1056
501	1061	1053
502	1063	1050
503	1064	1047
504	1066	1045
505	1068	1043
506	1070	1041
507	1072	1038
508	1073	1035
509	1075	1032
510	1077	1031
511	1079	1028
512	1081	1026
513	1084	1025
514	1085	1022
515	1087	1019
516	1089	1017
517	1090	1014
518	1092	1012
519	1093	1009
520	1095	1007
521	1098	1005
522	1100	1003
523	1101	1000
524	1103	998
525	1104	995
526	1105	992
527	1107	989
528	1108	987
529	1110	984
530	1112	982
531	1114	980
532	1115	977
533	1117	974
534	1118	972
535	1119	969
536	1121	966
537	1122	964
538	1124	961
539	1126	959
540	1127	957
541	1129	954
542	1130	951
543	1132	949
544	1133	946
545	1135	943
546	1136	941
547	1137	938
548	1139	935
549	1141	934
550	1144	932
551	1146	930
552	1147	927
553	1149	925
554	1151	922
555	1152	920
556	1153	917
557	1156	916
558	1159	914
559	1160	912
560	1162	909
561	1163	907
562	1165	904
563	1167	902
564	1169	900
565	1171	898
566	1173	895
567	1174	893
568	1176	891
569	1177	888
570	1179	885
571	1180	883
572	1182	880
573	1183	878
574	1185	876
575	1187	874
576	1189	872
577	1191	869
578	1192	867
579	1194	864
580	1195	862
581	1197	859
582	1198	857
583	1200	855
584	1203	854
585	1205	851
586	1207	849
587	1208	846
588	1210	844
589	1212	842
590	1220	844
591	1222	842
592	1224	840
593	1226	838
594	1227	835
595	1229	833
596	1233	832
597	1236	830
598	1237	828
599	1238	825
600	1240	823
601	1241	820
602	1243	818
603	1245	816
604	1247	814
605	1250	812
606	1251	810
607	1253	808
608	1254	805
609	1256	803
610	1258	801
611	1261	799
612	1264	798
613	1265	795
614	1268	793
615	1270	791
616	1271	789
617	1272	786
618	1275	785
619	1277	782
620	1278	780
621	1292	785
622	1294	783
623	1296	781
624	1298	778
625	1299	776
626	1301	773
627	1302	771
628	1304	769
629	1307	767
630	1310	766
631	1312	763
632	1313	761
633	1315	759
634	1316	756
635	1318	754
636	1322	753
637	1324	751
638	1326	749
639	1328	747
640	1329	744
641	1331	742
642	1332	739
643	1335	737
644	1337	736
645	1339	734
646	1341	731
647	1342	729
648	1344	727
649	1345	724
650	1347	722
651	1350	720
652	1352	718
653	1354	716
654	1355	714
655	1357	711
656	1358	709
657	1360	706
658	1361	704
659	1363	702
660	1365	700
661	1368	698
662	1369	696
663	1371	693
664	1372	691
665	1374	689
666	1375	686
667	1377	684
668	1380	682
669	1383	681
670	1385	679
671	1387	677
672	1388	674
673	1390	672
674	1391	670
675	1393	667
676	1395	665
677	1398	663
678	1399	661
679	1401	659
680	1402	657
681	1404	654
682	1405	652
683	1407	650
684	1410	648
